# Constructed from biom file
#OTU ID	AGOS38P1B7	AGOS42P6B7	AGOS44P4B7	AGOS46P1B7	AGOS48P4B7	AGOS50P1B7	AGOS53P1B7	AGOS54P5B7	AGOS56P1B7	AGOS57P4B7	AGOS58P6B7	AGOS60P3B7	CONS37P4B7	CONS39P1B7	CONS41P1B7	CONS43P5B7	CONS45P2B7	CONS47P6B7	CONS49P6B7	CONS51P3B7	CONS52P4B7	CONS55P5B7	CONS59P1B7	CONS61P4B7	CONS62P1B7
1CMET2-PWY	6422.268109540374	9819.213694097538	6155.10962145247	10349.092520077618	8270.64224085329	5925.877143744638	7783.194593243895	11886.002911522966	8656.604148761407	7148.598826125012	8167.228657727698	9664.471067131777	6155.619783082764	7962.618392043656	10746.03717579951	8040.1140891310815	6809.081601566046	12470.770420391025	9916.311830732517	6220.465146123818	6731.1977070502	8637.842274265124	9385.462293805984	14974.501645392898	8144.221799609425
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	20.128946442067235	27.81329360267673	11.603902320343213	16.164726706294548	20.80713619817075	34.376238284122344	20.795186833246852	14.777591229155558	16.943010163393488	15.890327908321993	10.739005853763889	17.02815097669561	17.51143951408785	20.97758568277433	16.390025486552105	12.613641683791855	14.699548151555314	34.45125846685841	13.933829773851912	7.650355893045545	8.793572467234497	19.171659472551173	8.779715000133361	14.892200019582479	16.838693069291462
AEROBACTINSYN-PWY	9.369048833245033	59.59403621948598	24.68027233780321	12.395929845483005	4.233142092435516	49.167732731575455	6.875732380467185	19.239883660759762	84.62982134336403	10.776443942375627	11.954228433602323	14.361798303903923	23.193717571155084	19.271284838294427	20.665115567256994	8.822843849735614	40.896020377611144	122.03370852821159	8.013232816167045	11.755658158618061	10.207874983063268	34.10495213778025	12.247128391213119	55.43172720301757	3.098052418566843
ALL-CHORISMATE-PWY	270.8915933887146	546.7698042850366	313.00127493623035	210.36331344075504	275.4556122750563	467.12153234789423	203.5824454793763	272.3401511684589	594.6292224047796	245.05158133522727	229.79897080328874	231.20283469136206	473.0130890873508	314.42372103375277	329.88236578877496	176.3794339393206	435.6527610004269	980.2212206485386	224.45540689331045	184.61984441887682	185.94501891462167	384.134792150908	201.24288886633988	834.0004924876438	154.33699269237138
ANAEROFRUCAT-PWY	6883.613548761628	10879.105716486836	6602.7921747727105	11598.653961805634	9103.030366486717	5253.630156336326	8053.065555484102	12468.359341778525	8261.121671660243	7901.74469374347	8912.114616042403	10869.485842020717	6527.30155295533	8327.669303582294	12250.08629569694	8681.276979387032	7490.960997443858	13034.123684129418	10306.275923221203	6809.597964463806	7318.962708004243	9409.077009287686	9929.07481365446	16622.37797302984	8851.043836255096
ANAGLYCOLYSIS-PWY	9528.07718026115	14735.99218509481	8766.84112829496	14648.789616325326	12355.539709624836	8374.189662058965	11567.914109262323	17089.05720388536	12170.575272292794	10654.241846896628	11610.987218142925	14068.540806410565	9311.431735437352	11077.552060098535	15485.086395477414	11266.513558768127	10006.68177806827	18381.629151472873	14571.788917950505	8920.591238611838	9884.414915953681	12971.084223760341	13962.25164741652	22929.446802435752	11654.2275793854
ARG+POLYAMINE-SYN	3014.135048908969	4265.21767275174	2315.1577232972095	4026.0830352277885	3474.26082682658	2799.6909449920286	3504.515538187365	5939.0920228232235	4170.278976304137	3173.827468477061	3385.2168292290203	3974.398270663633	3531.9373999512454	3464.1187572558642	4828.84187515559	3029.3505880273774	3039.5528765058884	5961.049618769598	3861.310554027466	2373.1065132397957	2682.5765976412786	3660.8526367064637	4540.964457364752	8536.31737782254	3486.057927207679
ARGDEG-PWY	11.375998176057236	58.01691933541106	18.58306118543077	12.710805630706904	5.849552806318583	94.09816556202185	7.000607626963336	17.854156723955807	55.79240628612769	10.900353657459432	13.339124689816167	13.529336574717602	18.918335100494332	21.040668981577042	25.24038795687158	13.818335409296488	35.35090377326682	103.6155007209164	9.257439733844137	8.73068897931916	7.846650774099393	30.021566722345895	9.648756005160706	42.05972532656511	5.053131074098565
ARGORNPROST-PWY	2643.8080476738323	3417.568469217093	1837.6454055484337	2198.110559844327	2793.814420710923	2629.412250818846	3119.4462518539785	4459.225987717901	4880.0050557664135	2250.996037484107	2290.482870611191	2478.9909824487395	2243.8511799777534	2553.228186820711	3253.230684905453	1935.6643094677188	2208.57586407303	4742.478768013014	3423.063427037368	1812.4252361491526	2019.6865098112592	3142.6422663769035	3306.76086582898	5282.964828724395	2332.3271930904666
ARGSYN-PWY	6969.94300552171	10403.207060502355	6579.403318776148	10306.116404226485	7997.284876997773	5515.61235091565	8154.278632235615	12814.863503217324	8493.997215288653	7595.01798603529	8501.574261553014	9501.119575068222	6933.674805009868	8120.781800818119	11382.22155642294	8224.550979600817	6866.191081795134	13037.801929223779	10517.709630321278	6628.755036631013	7593.932250091398	9155.981607200789	10190.44420468054	16480.439642442707	8253.550015817787
ARGSYNBSUB-PWY	7217.425515303144	11012.99496660716	7107.226926379218	11111.195132017321	8441.413125304613	5631.343555914803	8350.331244804425	13610.027958616789	8815.114325512264	8029.395218806812	9095.371541822247	10124.353829400545	7359.951766152238	8669.538618979293	12085.74197142714	8844.17094893584	7154.855779010111	13634.15116951161	11156.478968704687	7164.020407113476	8158.172759062747	9656.366603794684	10729.414212838821	17738.015644562114	8779.011439442416
ARO-PWY	8023.608667852984	12259.486958265246	7629.244275303588	12696.672226187346	9977.189384424315	6823.870266189218	9257.84586957404	14601.316053943778	9401.646452679792	9072.332840819745	10160.836082825803	11787.444761717867	8082.758610196907	9601.364487951147	13340.509311677686	9770.653205758914	8385.971311218269	15443.55585073843	12367.948150525712	7672.175900785764	8556.895986422009	10906.88781955638	11775.842305821212	20309.618967210907	9904.692155568619
ASPASN-PWY	5882.304165910389	8937.120874344648	5334.889432795926	8633.333072658805	7519.22891107896	5643.469150604561	7303.564931005728	10920.337333079393	7194.520349562887	6362.839832157196	6787.1456634145325	8564.301098321088	5215.933070704809	6712.286177021504	8878.086424890793	6680.441995716904	6208.610666300872	11676.92212379654	9238.32601153861	5174.722386990749	5778.900062946241	8187.933539580378	8462.138837509963	12340.225459157884	7260.471556776407
AST-PWY	17.01057784759099	79.6999769699805	36.1676610760856	16.181617923901825	8.984622815527914	83.55770703991493	8.372176275152867	24.0314136825886	89.8601236183686	20.75646322747927	15.59419420197187	18.479813955251075	80.48690252432742	26.231064020363842	29.04030730947649	13.223933695599191	54.329412726889245	162.3878071672414	15.75770003383242	13.609984019512238	10.825392884026419	44.497521097890186	14.243684453592111	227.1289782840279	4.377349647169002
BIOTIN-BIOSYNTHESIS-PWY	920.1499662547781	1709.413026022574	756.5792084138961	1332.805700782992	1800.7322504131705	804.6516574931981	651.8888319451471	1149.9826525882377	1062.0026433206494	840.5857086352744	1079.8589564564961	1644.5880673202141	1183.0300128142567	1633.6176067384977	1817.9946238907776	1495.097307344001	1371.6832298454729	1861.6592246166733	1866.0051928541318	586.4392670241698	566.3829032985129	2203.2477674933407	769.0809333747892	1957.1647624074312	1182.132399053263
BRANCHED-CHAIN-AA-SYN-PWY	9326.0989377064	13355.3612474891	8673.257037662948	13086.387428460997	11325.414023340663	7441.712093463856	10724.652779389284	14645.012338836335	11565.780471456073	9934.374981694744	10519.29927831095	12452.444510607664	9430.188800815984	10681.798011536432	13911.53140290381	10738.164720394509	8717.904089772346	16862.38129122158	13605.168905808168	8898.144213681942	9934.04300061719	11850.121608901554	12101.63951142992	21591.145206924648	11354.44737002875
CALVIN-PWY	9438.186099252474	13855.913689824938	7847.531826917666	13175.037520189233	11589.593317523928	8039.660979590212	11029.568046206237	15182.441700337815	10316.436353598414	10393.62665495776	11145.282570097563	12887.415064623727	8791.158476134979	10742.91062100832	14693.359019441588	10523.693139085439	9581.448674631	17954.665998631142	13481.500337289002	8143.362842221944	8758.435777943449	11825.289695042413	12871.9288582136	19477.202480372842	11518.971829706943
CATECHOL-ORTHO-CLEAVAGE-PWY	2.9875993286062537	5.543397677447867	1.8391320478581779	3.656652495922505	15.335827711426424	1.0864864646093426	2.815045034683772	3.197799029519064	2.0117302549442515	1.9488156955970581	5.693314028925263	2.387889438733527	3.5047732243215837	5.1854289249303465	4.5018361200016255	4.460531079289875	1.7595191030366362	4.619711779821292	3.0882276934485504	1.848643657524881	2.105381059241134	2.5567433329954423	2.085507931683839	2.499382269802635	3.2860650104624236
CENTBENZCOA-PWY	22.204980516871107	10.624929286328468	20.66410420721261	13.4284932527168	11.627365049586132	33.559811810314315	9.611060496540881	13.391303199905646	12.914915608454432	15.782772450799676	6.505333728578626	10.773607471928024	10.385683405384594	10.272395690344968	16.49015759903553	9.17704443949116	9.964084205984516	19.561668119290584	24.824560647148562	6.249061870457804	9.24141795366984	16.10193485771424	10.933796282162957	4.830362228065861	17.4823453510081
CENTFERM-PWY	1750.5259127971942	1959.3937861778695	1069.827294617612	1319.7459057828996	1577.2817914259208	1522.3493656658106	1456.2272666184474	1007.7892724836461	1446.5770987657454	1035.0548487811832	1009.2938676074124	1245.0975694577123	2176.5827713015487	1571.1726787454265	1824.5017246952568	1093.856685890612	1248.9600540738481	2590.7263021941126	1168.554934206288	826.1885488276838	954.9621478935206	1041.8707162952628	1068.4376510815873	6585.585200820261	1451.8270706998703
