# Constructed from biom file
#OTU ID	AGOS38P1A0	AGOS42P6A0	AGOS44P4A0	AGOS46P1A0	AGOS48P4A0	AGOS56P1A0	AGOS57P4A0	AGOS58P6A0	AGOS60P3A0	CONS37P4A0	CONS39P1A0	CONS41P1A0	CONS43P5A0	CONS45P2A0	CONS47P6A0	CONS49P6A0	CONS51P3A0	CONS52P4A0	CONS55P5A0	CONS59P1A0	CONS61P4A0	CONS62P1A0
1CMET2-PWY	7153.013319651292	13877.30138420733	10886.268535863077	19658.834972129956	11302.881096465444	10454.791718053815	6657.445427828148	11642.412859438475	9810.723967746564	10663.86586299537	8731.970393097215	9685.417433218196	6044.195605553362	7481.367899778942	17444.508484468664	7936.337203899163	6493.314184285574	8811.359771111656	7862.336361237403	6872.624488676194	10549.198459141997	13402.741185408508
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	26.23728312487668	57.6579539976388	28.381732202257144	49.67210681764011	31.798627376301493	33.59954288575227	18.70632511374846	29.77784432275196	26.886603695683725	41.14986694659038	22.770285811967014	31.19501027393552	16.167947170474037	18.704651786080976	42.179386966267074	16.482386495068937	14.307372668645979	22.350964861019744	15.731834571611712	14.853730511598291	11.7694836063764	36.41415420442864
AEROBACTINSYN-PWY	7.15041701526811	73.18855681861031	12.504049444110835	28.991372228273786	18.702583700080424	126.4605100045407	2.0573852830266763	81.20924694222555	10.70258523569395	31.2623060438337	30.010181085495724	13.867684280548	7.0557954715184765	19.97448480218501	22.384684717708065	28.818144281794314	7.843135464629587	7.0413435380922005	18.9393227385304	15.00067901807494	10.270511553670088	0.007417802245921838
ALL-CHORISMATE-PWY	309.5543788232348	769.3915416789612	282.2039420022668	522.9850291400184	327.763275479131	846.5133264836369	328.99618356401527	829.0569193230364	273.3515189709207	492.94529244774714	366.16503722910613	321.6324788943786	190.67886181224347	321.76161754224296	494.11612238592795	440.10379635807936	197.86757987855947	188.14246127947337	284.8343088497653	237.34802778566026	252.33226669422953	131.13677150513578
ANAEROFRUCAT-PWY	6309.168194282386	15092.155979977202	12007.783581843589	20889.276433751693	12076.453256419285	8791.76726364527	6996.7026466891075	12598.177608283044	10975.815582345438	10967.190504478636	9294.141803523622	10331.496858160537	6664.075947615207	8157.603575258766	16208.032433112852	7377.642169885788	6841.0834113226365	9101.69875105192	8021.303095119856	6394.14820797665	11351.816574013152	14680.256146096146
ANAGLYCOLYSIS-PWY	10415.655424343853	20167.075213227898	15993.354181755452	29382.041504298	16741.10309944418	15207.203395765287	9706.566986699794	17178.599324672305	14545.954204236961	15429.89141686768	12483.512288840784	14562.195436611126	8989.856044502816	11117.606730367834	25413.0377210245	11322.170845394383	9710.232012286324	12694.576411468968	11757.569368350263	9990.97806662911	16156.099227806408	19834.556251293354
ARG+POLYAMINE-SYN	3047.871000904688	6198.6263196699565	4319.809085874741	9041.093750518145	4923.106606627337	4832.166866609824	3190.859647735345	5422.746647916607	4029.680329134536	4645.847440098049	3819.742855566891	4495.019451031377	2640.0291200406696	3109.3189991935265	8175.767795540487	3358.0650305923637	2854.1367981877365	3925.0879950824487	3707.5261019676727	3288.0395878443933	5687.691352808009	5537.111602672498
ARGDEG-PWY	9.653623194063554	121.07086458427169	13.31232601542011	22.009648096513132	17.702411077171902	103.53872258096476	14.651172100968825	71.09304967725492	11.444720658853889	29.05495227493608	29.181302281512675	12.394177141437057	11.18032752081994	18.75589682134581	21.740555520101218	27.139028881491136	6.858527859159997	7.813643364872234	17.212832274674046	13.641603732317762	9.215858879396468	1.2380334774996251
ARGORNPROST-PWY	3278.6252915818627	4585.820182371391	3228.3927314844163	7512.303504147124	3990.8364372119427	4664.209606596959	1996.3721789090037	4841.646174283745	3067.93442934747	4123.433264075991	2923.0734173514297	3707.7584191431733	2043.5703932533004	2660.871791862145	7639.498489031545	3075.8126052543557	2308.2749567760875	3320.2121164729124	3445.5320866210504	2853.5580187981955	4453.2299545184	4255.307803397366
ARGSYN-PWY	7101.059738008678	13683.007997533638	12285.007842564966	20415.295757025782	11996.635840130284	10038.779608651668	7517.017667505217	11844.708046759486	10554.041002803375	11056.100167882285	9341.678384815408	10259.815266579812	6651.669422945994	8222.372836781842	17186.886675416787	8171.695391112612	7007.095720949135	9128.900377915807	8047.259846151413	6663.685654246451	12002.170300017853	14899.397032255358
ARGSYNBSUB-PWY	7232.37021849673	14375.503421048254	13083.924704606854	21141.519012094184	12678.40481277457	10065.069140974409	7861.611292058594	12311.18767234186	11195.540515625622	11597.996929728839	9992.729196316894	10647.83250369028	6985.181189649661	8551.003526927805	17489.048560172552	8485.53564016866	7371.94664871573	9594.092909628052	8284.563750715286	6666.574318257716	12816.748751092346	15768.504285453853
ARO-PWY	8714.336165295945	16766.679271992187	14036.694709664758	24190.82544093814	14142.007648138708	12341.389672630263	8494.763776709993	14464.443988497671	12459.679159219604	13194.996952648242	11011.33248984892	12017.083111835904	7750.5135167366525	9435.63426416385	21179.67758350113	9744.852002645863	8093.462346123633	10476.246730046896	9545.504164515603	8005.753278434978	14258.908913117384	16825.46128617156
ASPASN-PWY	6781.603809913616	12958.317920730684	9860.302260287714	19549.243379224245	10603.258041269853	10536.90995965015	5517.734184118023	10418.977401122296	9017.919731571132	9647.039354532551	7782.3061741707415	9229.38592253754	5308.891663410724	6893.229390340742	16037.772727532647	7430.049321046531	5949.134454866074	7891.81730892409	7590.839665649713	6794.096823625865	8418.156781885216	12185.705194887036
AST-PWY	22.49194471784549	116.23631645218963	16.867713098520507	43.898080457379784	25.8131335942255	160.7640240425178	16.885523128575404	112.59821885443553	13.762393432724545	41.26110202447038	41.20356246709053	19.910242842153647	10.124121125210623	30.131995938034645	30.173049882094375	61.76276011692766	11.969720671732984	7.8912367316736365	23.263401218618743	27.78280354888931	42.63175236601435	5.4505609823726235
BENZCOA-PWY	0.0	5.905993171597111	4.726714076154727	0.007309459783344934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	1462.3017210278692	2039.0460260604054	1341.1097117001518	2709.1638817814783	1234.4373228988397	1818.5549163436738	2062.900916766458	1796.0870098468172	1558.3639245685208	1247.1328618981925	1182.9580005122114	1408.1418134833827	917.9285160258768	767.9930679090446	1357.998294426662	1435.215999374638	886.8582375713448	1099.505371653942	899.5697617600238	1061.4940349800484	977.9736401576691	1323.8787806217008
BRANCHED-CHAIN-AA-SYN-PWY	9508.39107980307	17784.6232324313	16051.249271341583	26050.98590120006	15487.474179402578	13629.23580307007	9725.932103720335	14877.629167883455	13770.577575631487	14418.159397147167	11604.626519401027	13078.943553798292	8532.174183773202	10253.456224371781	21199.487185031307	10567.230047998588	9352.524832044366	11570.872454149725	10116.746659350101	8658.564769716628	15757.407226010242	19463.64183112154
CALVIN-PWY	10633.54694285031	19585.886830002295	16023.041294106944	26889.668087193844	15674.59575442077	14803.656086705807	10149.281017314588	17219.42268202239	14018.681661045008	15826.810502751068	11876.729915590926	13829.475037858374	9319.132726759832	11064.678655320577	25042.55630575228	11291.9072857317	9523.031236556732	11670.213317533771	11319.671775853676	9705.1151704994	14336.685343858067	19450.649006769607
CATECHOL-ORTHO-CLEAVAGE-PWY	3.8572015349975084	4.011094577544187	3.308167022281946	4.475781175096138	5.854075557338373	3.0881448781985386	14.53229523623437	11.579972704762072	3.1020472109618384	5.017925549303566	3.352074553604347	17.1380635518048	3.7799801224293126	2.3845711158482494	8.709014670721956	2.5535015270439163	2.0182792708543125	2.9382811068579637	2.9138156267101376	7.205507988028836	2.3951757446457598	5.454628664842982
CENTBENZCOA-PWY	34.51599613770222	15.453277709787715	14.751465686963499	69.79130711666963	13.6946943893572	32.857029165649564	20.263001423886653	17.35981519837529	11.045568562017953	18.075813196273703	8.357923885892944	14.78575549138119	10.68776395530758	10.160986051168976	17.83713297140864	61.88374994609528	15.431494103612534	10.385738090052467	6.890711664117315	37.74166378463678	8.785876342582055	17.8019217439457
CENTFERM-PWY	1683.2395936151386	2021.294988529822	1476.4209727383707	3218.8939225415347	1546.8736140780318	2715.306976807438	2196.6802315343084	2230.5071309640243	1330.865267909604	2267.8474207677864	1401.1229739225503	1339.366698113868	1112.2870016499842	1302.1201056941727	2134.4522167653813	1899.8678435220054	1190.2646625365614	1317.4445891012226	1035.4421597941011	1513.0628838729872	4731.382785708794	1837.184205234809
CHLOROPHYLL-SYN	61.22615090397176	49.628346067610764	34.30006747225374	178.4926898223591	34.75902588658643	184.53430081949202	168.3898094990803	39.799723784890524	25.343088421075375	42.41909166612579	34.1238924039895	25.291894125780253	41.13751314646158	41.33150735808662	50.283575664321184	53.75315966080746	26.26389210652246	43.593679279591946	45.54571967711997	20.23540242017436	32.12783370920777	25.760089364646884
